word,Reading,JLPT Level
現像,げんぞう,N1
原則,げんそく,N1
見地,けんち,N1
現地,げんち,N1
限定,げんてい,N1
原点,げんてん,N1
原典,げんてん,N1
原爆,げんばく,N1
原文,げんぶん,N1
厳密,げんみつ,N1
賢明,けんめい,N1
倹約,けんやく,N1
原油,げんゆ,N1
兼用,けんよう,N1
権力,けんりょく,N1
言論,げんろん,N1
故～,こ～,N1
語彙,ごい,N1
恋する,こいする,N1
甲,こう,N1
好意,こうい,N1
行為,こうい,N1
合意,ごうい,N1
工学,こうがく,N1
抗議,こうぎ,N1
合議,ごうぎ,N1
皇居,こうきょ,N1
好況,こうきょう,N1
鉱業,こうぎょう,N1
興業,こうぎょう,N1
高原,こうげん,N1
交互,こうご,N1
煌々と,こうこうと,N1
考古学,こうこがく,N1
工作,こうさく,N1
耕作,こうさく,N1
鉱山,こうざん,N1
講習,こうしゅう,N1
口述,こうじゅつ,N1
控除,こうじょ,N1
交渉,こうしょう,N1
高尚,こうしょう,N1
向上,こうじょう,N1
行進,こうしん,N1
香辛料,こうしんりょう,N1
降水,こうすい,N1
洪水,こうずい,N1
合成,ごうせい,N1
公然,こうぜん,N1
抗争,こうそう,N1
構想,こうそう,N1
後退,こうたい,N1
光沢,こうたく,N1
公団,こうだん,N1
好調,こうちょう,N1
口頭,こうとう,N1
講読,こうどく,N1
購読,こうどく,N1
購入,こうにゅう,N1
公認,こうにん,N1
光熱費,こうねつひ,N1
購買,こうばい,N1
好評,こうひょう,N1
交付,こうふ,N1
公募,こうぼ,N1
巧妙,こうみょう,N1
公用,こうよう,N1
小売,こうり,N1
効率,こうりつ,N1
公立,こうりつ,N1
護衛,ごえい,N1
コーナー,コーナー,N1
小柄,こがら,N1
小切手,こぎって,N1
国産,こくさん,N1
国定,こくてい,N1
告白,こくはく,N1
国防,こくぼう,N1
国有,こくゆう,N1
極楽,ごくらく,N1
国連,こくれん,N1
焦げ茶,こげちゃ,N1
語源,ごげん,N1
心地,ここち,N1
心得,こころえ,N1
心掛け,こころがけ,N1
心掛ける,こころがける,N1
志,こころざし,N1
志す,こころざす,N1
心強い,こころづよい,N1
心細い,こころぼそい,N1
試み,こころみ,N1
試みる,こころみる,N1
快い,こころよい,N1
誤差,ごさ,N1
ございます ,ございます ,N1
孤児,こじ,N1
こじれる,こじれる,N1
こす ,こす ,N1
梢,こずえ,N1
個性,こせい,N1
戸籍,こせき,N1
古代,こだい,N1
こたつ,こたつ,N1
こだわる,こだわる,N1
誇張,こちょう,N1
こつ ,こつ ,N1
滑稽,こっけい,N1
国交,こっこう,N1
骨董品,こっとうひん,N1
固定,こてい,N1
事柄,ことがら,N1
孤独,こどく,N1
ことごとく,ことごとく,N1
言付け,ことづけ,N1
殊に,ことに,N1
粉々,こなごな,N1
好ましい,このましい,N1
碁盤,ごばん,N1
個別,こべつ,N1
ごまかす,ごまかす,N1
細やか,こまやか,N1
コマーシャル,コマーシャル,N1
込める,こめる,N1
コメント,コメント,N1
籠もる,こもる,N1
固有,こゆう,N1
暦,こよみ,N1
凝らす,こらす,N1
ごらんなさい ,ごらんなさい ,N1
孤立,こりつ,N1
懲りる,こりる,N1
凝る,こる,N1
根気,こんき,N1
根拠,こんきょ,N1
混血,こんけつ,N1
コンタクト ,コンタクト ,N1
昆虫,こんちゅう,N1
