word,Reading,JLPT Level,Frequency Rank,Meaning
現像,げんぞう,N1,15782,developing (film)
原則,げんそく,N1,2363,"principle, general rule"
見地,けんち,N1,0,point of view
現地,げんち,N1,3003,"actual place, local"
限定,げんてい,N1,855,"limit, restriction"
原点,げんてん,N1,11497,"origin (coordinates, starting point)"
原典,げんてん,N1,11209,"original, source"
原爆,げんばく,N1,8542,atomic bomb
原文,げんぶん,N1,6558,"the text, original"
厳密,げんみつ,N1,5859,"strict, close"
賢明,けんめい,N1,0,"wisdom, intelligence, prudence"
倹約,けんやく,N1,0,"thrift, economy, frugality"
原油,げんゆ,N1,17678,crude oil
兼用,けんよう,N1,0,"multi-use, combined use"
権力,けんりょく,N1,4734,"(political) power, authority, influence"
言論,げんろん,N1,11577,"discussion, speech"
故～,こ～,N1,0,"deceased, late"
語彙,ごい,N1,12168,"vocabulary, glossary"
恋する,こいする,N1,7706,"to fall in love with, to love"
甲,こう,N1,2887,1st in rank; shell
好意,こうい,N1,7101,"good will, favor, courtesy"
行為,こうい,N1,529,"act, deed, conduct"
合意,ごうい,N1,1184,"agreement, consent, mutual understanding"
工学,こうがく,N1,1987,engineering
抗議,こうぎ,N1,4575,"protest, objection"
合議,ごうぎ,N1,0,"consultation, conference"
皇居,こうきょ,N1,18753,Imperial Palace
好況,こうきょう,N1,0,"prosperous conditions, healthy economy"
鉱業,こうぎょう,N1,10272,mining industry
興業,こうぎょう,N1,9444,starting a business; industry
高原,こうげん,N1,5106,"tableland, plateau"
交互,こうご,N1,11929,"mutual, reciprocal, alternate"
煌々,こうこう,N1,0,brightly
考古学,こうこがく,N1,7311,archeology
工作,こうさく,N1,4626,"handicraft, maneuvering"
耕作,こうさく,N1,13704,"cultivation, farming"
鉱山,こうざん,N1,5593,mine
講習,こうしゅう,N1,9032,"short course, training"
口述,こうじゅつ,N1,0,verbal statement
控除,こうじょ,N1,0,"subsidy, deduction"
交渉,こうしょう,N1,3104,negotiation
高尚,こうしょう,N1,0,"high, noble, refined"
向上,こうじょう,N1,2425,"rise, improvement, progress"
行進,こうしん,N1,11813,"march, parade"
香辛料,こうしんりょう,N1,19072,spices
降水,こうすい,N1,12355,"rainfall, precipitation"
洪水,こうずい,N1,7824,flood
合成,ごうせい,N1,3012,"synthetic, mixed"
公然,こうぜん,N1,18633,openly
抗争,こうそう,N1,7782,"dispute, resistance"
構想,こうそう,N1,3754,"plan, plot, idea, conception"
後退,こうたい,N1,9062,"retreat, backspace"
光沢,こうたく,N1,18579,"luster, glossy finish (of photographs)"
公団,こうだん,N1,11445,public corporation
好調,こうちょう,N1,13449,"satisfactory, in good shape"
口頭,こうとう,N1,0,oral
講読,こうどく,N1,0,reading
購読,こうどく,N1,7773,subscription
購入,こうにゅう,N1,2070,"purchase, buy"
公認,こうにん,N1,3944,"official recognition, authorization"
光熱費,こうねつひ,N1,0,cost of fuel and light
購買,こうばい,N1,18411,"purchase, buy"
好評,こうひょう,N1,10047,"popularity, favorable reputation"
交付,こうふ,N1,7995,"delivering, furnishing (with copies)"
公募,こうぼ,N1,8679,"public appeal, public contribution"
巧妙,こうみょう,N1,0,"ingenious, skillful, clever"
公用,こうよう,N1,7713,"government business, public use, public expense"
小売,こうり,N1,7405,retail
効率,こうりつ,N1,4987,efficiency
公立,こうりつ,N1,1631,public institution
護衛,ごえい,N1,2959,"guard, convoy, escort"
コーナー,コーナー,N1,1321,corner
小柄,こがら,N1,12719,"small, diminutive"
小切手,こぎって,N1,0,"cheque, check"
国産,こくさん,N1,8636,domestic products
国定,こくてい,N1,12157,"state-sponsored, national"
告白,こくはく,N1,4865,"confession, acknowledgment"
国防,こくぼう,N1,4374,national defense
国有,こくゆう,N1,2997,national ownership
極楽,ごくらく,N1,18089,paradise
国連,こくれん,N1,4825,"U.N., United Nations"
焦げ茶,こげちゃ,N1,0,dark brown
語源,ごげん,N1,7826,"word root, word derivation, etymology"
心地,ここち,N1,0,"feeling, sensation, mood"
心得,こころえ,N1,15728,"knowledge, information"
心掛け,こころがけ,N1,0,"readiness, intention, aim"
心掛ける,こころがける,N1,0,"to bear in mind, to aim to do"
志,こころざし,N1,1649,"will, intention, motive"
志す,こころざす,N1,0,"to plan, to intend, to aspire to"
心強い,こころづよい,N1,0,"heartening, reassuring"
心細い,こころぼそい,N1,0,"helpless, hopeless, discouraging"
試み,こころみ,N1,4015,"trial, experiment"
試みる,こころみる,N1,12849,"to try, to test"
快い,こころよい,N1,0,"pleasant, agreeable"
誤差,ごさ,N1,14854,error
ございます,ございます,N1,0,"to be (polite, to exist)"
孤児,こじ,N1,11536,orphan
こじれる,こじれる,N1,0,"to get complicated, to grow worse"
こす,こす,N1,8744,"to strain, to filter"
梢,こずえ,N1,0,treetop
個性,こせい,N1,7945,"individuality, personality, idiosyncrasy"
戸籍,こせき,N1,11792,"census, family register"
古代,こだい,N1,1608,ancient times
